riverName,riverId,outletRiverId,watershedName,lat,lon,country,parentRiverId,bboxWest,bboxSouth,bboxEast,bboxNorth,notes,validationFlag,sourceRow,wikipedia
Jubba,110407544,110407544,Jubba,-0.25856,42.63522,Somalia,,36.30889,-0.56278,46.04,9.53833,,,192.0,
Shebelle,110441645,110407544,Jubba,0.16244,42.75789,Somalia,110407544,38.76633,0.16244,46.04,9.53833,,,193.0,
Dawa,110467870,110407544,Jubba,0.73833,41.59933,Somalia,110407544,37.90322,0.55578,41.59933,4.08533,,,195.0,
Gestro,110537394,110407544,Jubba,1.13233,41.52289,Somalia,110407544,40.57356,1.13233,41.88111,3.44589,,,197.0,
Ganale,110551826,110407544,Jubba,1.13233,41.52289,Somalia,110407544,38.23722,1.13233,41.54833,4.47089,,,196.0,
Caledon,120415718,120518766,Orange,-30.52378,26.06578,South Africa,120565386,25.89867,-30.52378,28.61433,-28.42411,,,169.0,
Hartbees,120517110,120518766,Orange,-28.74844,20.54789,South Africa,120518766,19.52367,-32.61967,22.576,-28.74844,,,166.0,
Orange,120518766,120518766,Orange,-28.63944,16.44989,South Africa,,16.19522,-32.61967,30.22911,-21.72811,,,162.0,
Molopo,120527076,120518766,Orange,-28.51789,20.21189,South Africa,120518766,16.59967,-28.51789,26.42378,-21.72811,,,165.0,
Fish,120545353,120518766,Orange,-28.10122,17.17389,Namibia,120518766,16.19522,-28.10122,19.251,-23.41856,,,163.0,
Upper Orange,120565386,120518766,Orange,-29.07233,23.63389,South Africa,120518766,23.62167,-31.72689,29.38156,-28.42411,,,168.0,
Vaal,120570377,120518766,Orange,-29.07233,23.63389,South Africa,120518766,23.29689,-30.23178,30.22911,-25.89033,,,167.0,
Nossob,120691707,120518766,Orange,-26.90689,20.68533,South Africa,120527076,16.59967,-26.90689,21.92178,-21.72811,,,164.0,
Rio Maputo,120561881,120561881,Rio Maputo,-26.21822,32.683,Mozambique,,30.11178,-27.66522,32.70589,-26.16156,upper course in Eswatini and South Africa is the Great Usutu,,,https://en.wikipedia.org/wiki/Maputo_River
Chobe,120597774,120792679,Zambezi,-15.19178,22.91833,Zambia,120741039,19.70489,-15.43133,23.04278,-13.19022,,,140.0,
Luangwa,120607807,120792679,Zambezi,-15.94089,28.94389,Zambia,120741039,25.28733,-16.79778,28.94389,-11.629,,,136.0,
Lungwebungu,120616021,120792679,Zambezi,-14.31844,23.20844,Zambia,120616021,18.46178,-14.31844,23.20844,-11.97489,,duplicate-id,141.0,
Kabompo,120622669,120792679,Zambezi,-14.185,23.17789,Zambia,120741039,23.17789,-14.73544,26.01444,-11.24,,,139.0,
Revuboe,120626126,120792679,Zambezi,-16.18667,33.61433,Mozambique,120741039,33.59178,-16.18667,34.58622,-14.45211,accents in this river name that I can't do easily,,137.0,
Upper Zambezi,120629326,120792679,Zambezi,-14.185,23.17789,Zambia,120741039,19.49178,-14.185,24.36644,-10.94967,,,143.0,
Shire,120734383,120792679,Zambezi,-17.69411,35.32189,Mozambique,120741039,32.745,-17.69411,35.921,-9.04567,,,135.0,
Zambezi Delta,120741039,120792679,Zambezi,-17.69233,35.34789,Mozambique,120792679,18.46178,-20.38956,35.921,-9.04567,,,134.0,
Zambezi,120792679,120792679,Zambezi,-18.56678,36.44811,Mozambique,,18.46178,-20.38956,36.44956,-9.04567,,,133.0,
Rio Cunene,130121500,130121500,Rio Cunene,-17.25222,11.75011,Angola,,11.75011,-18.02489,16.26367,-12.693,lower course is the Angola-Namibia border; known as the Kunene on the Namibian side,,,https://en.wikipedia.org/wiki/Cunene_River
Ogooué River,130711124,130711124,Ogooué River,-1.01811,8.87333,Gabon,,8.87333,-3.072,14.45556,2.621,,,,https://en.wikipedia.org/wiki/Ogoou%C3%A9_River
Ruki**,130699072,130747391,Congo,0.03811,18.22633,Democratic Republic of the Congo,130750636,18.22633,-3.32622,24.72822,0.67056,,,17.0,
Sangha,130706006,130747391,Congo,-1.32278,16.76144,Republic of the Congo,130750636,11.80289,-1.343,17.91111,6.62856,,,11.0,
Ubangui,130723080,130747391,Congo,-0.65644,17.65733,Democratic Republic of the Congo,130750636,15.674,-0.65644,30.87722,9.16856,,,12.0,
Upper Congo**,130729844,130747391,Congo,0.78867,24.282,Democratic Republic of the Congo,130750636,24.00656,-13.38733,33.96367,1.546,,,16.0,
Kasai,130738650,130747391,Congo,-3.19167,16.18822,Republic of the Congo,130750636,15.43178,-12.07989,24.95411,-0.77744,,,14.0,
Congo,130747391,130747391,Congo,-6.05667,12.36878,Angola,,11.80289,-13.38733,33.96367,9.16856,,,10.0,
Lower Congo**,130750636,130747391,Congo,-3.221,16.178,Republic of the Congo,130747391,11.80289,-13.38733,33.96367,9.16856,,,18.0,
Lomami,130781203,130747391,Congo,0.788,24.27811,Democratic Republic of the Congo,130750636,23.44333,-8.74778,26.20311,0.788,,,15.0,
Sanaga River,130770757,130770757,Sanaga River,3.54744,9.639,Cameroon,,9.639,3.539,14.89222,7.32289,,,,https://en.wikipedia.org/wiki/Sanaga_River
Nyong River,130789607,130789607,Nyong River,3.279,9.89378,Cameroon,,9.89378,2.86611,13.41678,4.55856,,,,https://en.wikipedia.org/wiki/Nyong_River
Niger,140005819,140005819,Niger,4.28344,6.07578,Nigeria,,-11.53644,4.28344,15.80422,23.91933,,,76.0,
Sokoto,140603709,140005819,Niger,11.40256,4.12011,Nigeria,140005819,3.81844,11.27922,9.37689,16.08133,,,78.0,
Dallol Bosso,140629840,140005819,Niger,12.40878,2.82956,Niger,140005819,1.61178,12.40878,9.223,23.91933,,,79.0,
Benue,140719000,140005819,Niger,7.78056,6.74633,Nigeria,140005819,6.74633,5.84856,15.80422,11.64833,,,77.0,
Volta River,140382813,140382813,Volta River,5.77444,0.672,Ghana,,-5.30022,5.77444,2.22033,14.74211,,,,https://en.wikipedia.org/wiki/Volta_River
Nile,160064246,160064246,Nile,31.47489,30.35989,Egypt,,23.52422,-3.95267,39.72933,31.47489,Names are difficult to find or translate on all maps for the Nile,,27.0,
Lake Victoria,160290686,160064246,Nile,0.45433,33.181,Uganda,160502764,29.32411,-3.95267,35.78667,1.21722,"shared with Kenya and Tanzania - country is the outlet bank, at Jinja",,,https://en.wikipedia.org/wiki/Lake_Victoria
