region,count
1020000010,269532
1020011530,403891
1020018110,402007
1020021940,341570
1020027430,596529
1020034170,257757
1020035180,51578
1020040190,199881
2020000010,131366
2020003440,260643
2020018240,149281
2020024230,163416
2020033490,51022
2020041390,84580
2020057170,8106
2020065840,333136
2020071190,506743
3020000010,336320
3020003790,231764
3020005240,103519
3020008670,225270
3020009320,250812
3020024310,33584
4020000010,312628
4020006940,424656
4020015090,196038
4020024190,428017
4020034510,43580
4020050210,160319
4020050220,251498
4020050290,164327
4020050470,58394
5020000010,54510
5020015660,97456
5020037270,74801
5020049720,713788
5020054880,103
5020055870,3429
5020082270,26977
6020000010,174859
6020006540,580713
6020008320,173355
6020014330,323866
6020017370,147402
6020021870,91761
6020029280,40867
7020000010,251161
7020014250,129864
7020021430,208115
7020024600,276193
7020038340,107964
7020046750,358786
7020047840,205248
7020065090,18163
8020000010,166219
8020008900,181036
8020010700,102082
8020020760,11158
8020022890,30108
8020032840,46083
8020044560,42233
9020000010,200730
