region,count_dis_drp
1020000010,266439
1020011530,401947
1020018110,401054
1020021940,340544
1020027430,590844
1020034170,257476
1020035180,50567
1020040190,199167
2020000010,122477
2020003440,258626
2020018240,144973
2020024230,160210
2020033490,45208
2020065840,331333
2020071190,501762
3020000010,332894
3020003790,230715
3020008670,224815
3020024310,33250
4020000010,309732
4020006940,421312
4020015090,193931
4020024190,426050
4020034510,38782
4020050210,159677
4020050220,249742
4020050290,162631
4020050470,57856
5020000010,49469
5020015660,89271
5020037270,68593
5020049720,705033
5020082270,24993
6020000010,173240
6020006540,580048
6020008320,172283
6020014330,323128
6020017370,143664
6020021870,83890
6020029280,39143
7020000010,247447
7020014250,124741
7020021430,206221
7020024600,269110
7020038340,106111
7020046750,357598
7020047840,203439
7020065090,15576
8020000010,162071
8020008900,180027
