region,count,count_dis,count_dis_drp,percent_remove_dis,percent_remove_disdrp
1020000010,351347,269532,266439,0.2329,0.2417
1020011530,521318,403891,401947,0.2253,0.229
1020018110,515435,402007,401054,0.2201,0.2219
1020021940,438920,341570,340544,0.2218,0.2241
1020027430,775597,596529,590844,0.2309,0.2382
1020034170,333193,257757,257476,0.2264,0.2272
1020035180,66909,51578,50567,0.2291,0.2442
1020040190,257005,199881,199167,0.2223,0.225
2020000010,172732,131366,122477,0.2395,0.2909
2020003440,337012,260643,258626,0.2266,0.2326
2020018240,194247,149281,144973,0.2315,0.2537
2020024230,212748,163416,160210,0.2319,0.2469
2020033490,67432,51022,45208,0.2434,0.3296
2020041390,110604,84580,,0.2353,
2020057170,10897,8106,,0.2561,
2020065840,433316,333136,331333,0.2312,0.2354
2020071190,664189,506743,501762,0.237,0.2445
3020000010,438361,336320,332894,0.2328,0.2406
3020003790,298253,231764,230715,0.2229,0.2264
3020005240,134611,103519,,0.231,
3020008670,287408,225270,224815,0.2162,0.2178
3020009320,324673,250812,,0.2275,
3020024310,44262,33584,33250,0.2412,0.2488
4020000010,403267,312628,309732,0.2248,0.2319
4020006940,550896,424656,421312,0.2292,0.2352
4020015090,255576,196038,193931,0.233,0.2412
4020024190,553312,428017,426050,0.2264,0.23
4020034510,57568,43580,38782,0.243,0.3263
4020050210,210341,160319,159677,0.2378,0.2409
4020050220,327439,251498,249742,0.2319,0.2373
4020050290,218407,164327,162631,0.2476,0.2554
4020050470,78237,58394,57856,0.2536,0.2605
5020000010,72642,54510,49469,0.2496,0.319
5020015660,129020,97456,89271,0.2446,0.3081
5020037270,98464,74801,68593,0.2403,0.3034
5020049720,933991,713788,705033,0.2358,0.2451
5020054880,133,103,,0.2256,
5020055870,4554,3429,,0.247,
5020082270,35333,26977,24993,0.2365,0.2926
6020000010,226912,174859,173240,0.2294,0.2365
6020006540,746635,580713,580048,0.2222,0.2231
6020008320,222266,173355,172283,0.2201,0.2249
6020014330,415201,323866,323128,0.22,0.2218
6020017370,193450,147402,143664,0.238,0.2574
6020021870,121973,91761,83890,0.2477,0.3122
6020029280,53236,40867,39143,0.2323,0.2647
7020000010,331386,251161,247447,0.2421,0.2533
7020014250,168316,129864,124741,0.2285,0.2589
7020021430,271198,208115,206221,0.2326,0.2396
7020024600,356959,276193,269110,0.2263,0.2461
7020038340,140097,107964,106111,0.2294,0.2426
7020046750,461425,358786,357598,0.2224,0.225
7020047840,269126,205248,203439,0.2374,0.2441
7020065090,24456,18163,15576,0.2573,0.3631
8020000010,214943,166219,162071,0.2267,0.246
8020008900,235188,181036,180027,0.2302,0.2345
8020010700,133378,102082,,0.2346,
8020020760,14664,11158,,0.2391,
8020022890,39678,30108,,0.2412,
8020032840,60890,46083,,0.2432,
8020044560,57000,42233,,0.2591,
9020000010,262479,200730,,0.2353,
,15940505,12270794,11239110,0.23021297,0.294933881
