region,count
1020000010,351347
1020011530,521318
1020018110,515435
1020021940,438920
1020027430,775597
1020034170,333193
1020035180,66909
1020040190,257005
2020000010,172732
2020003440,337012
2020018240,194247
2020024230,212748
2020033490,67432
2020041390,110604
2020057170,10897
2020065840,433316
2020071190,664189
3020000010,438361
3020003790,298253
3020005240,134611
3020008670,287408
3020009320,324673
3020024310,44262
4020000010,403267
4020006940,550896
4020015090,255576
4020024190,553312
4020034510,57568
4020050210,210341
4020050220,327439
4020050290,218407
4020050470,78237
5020000010,72642
5020015660,129020
5020037270,98464
5020049720,933991
5020054880,133
5020055870,4554
5020082270,35333
6020000010,226912
6020006540,746635
6020008320,222266
6020014330,415201
6020017370,193450
6020021870,121973
6020029280,53236
7020000010,331386
7020014250,168316
7020021430,271198
7020024600,356959
7020038340,140097
7020046750,461425
7020047840,269126
7020065090,24456
8020000010,214943
8020008900,235188
8020010700,133378
8020020760,14664
8020022890,39678
8020032840,60890
8020044560,57000
9020000010,262479
