drop,keptIn,removedFrom,reaches,pctTwinned,pctInOwnLevel2
110000005,1020034170,1020000010,1,100.0,0.0
110000452,1020034170,1020000010,1,100.0,0.0
110000473,1020034170,1020000010,1,100.0,0.0
110000636,1020034170,1020000010,1,100.0,0.0
110001099,1020011530,1020000010,1,100.0,0.0
110001367,1020034170,1020000010,1,100.0,0.0
110002624,1020034170,1020000010,3,66.7,0.0
110002628,1020034170,1020000010,3,100.0,0.0
110002631,1020034170,1020000010,3,66.7,0.0
110002674,1020034170,1020000010,3,66.7,0.0
110002749,1020034170,1020000010,3,66.7,0.0
110003940,1020034170,1020000010,1,100.0,0.0
110003945,1020034170,1020000010,3,66.7,0.0
110005307,1020034170,1020000010,5,80.0,0.0
110005468,1020034170,1020000010,5,80.0,0.0
110006685,1020034170,1020000010,3,100.0,0.0
110013122,2020000010,1020000010,11,90.9,0.0
110015747,2020071190,1020000010,1,100.0,0.0
110015886,1020034170,1020000010,3,66.7,0.0
110017059,2020071190,1020000010,3,66.7,0.0
110017101,1020034170,1020000010,7,85.7,0.0
110018413,1020034170,1020000010,5,80.0,0.0
110019770,1020034170,1020000010,11,90.9,0.0
110019990,1020034170,1020000010,7,85.7,0.0
110021136,1020034170,1020000010,3,66.7,0.0
110022429,1020034170,1020000010,5,80.0,0.0
110023621,1020034170,1020000010,5,80.0,0.0
110027548,1020011530,1020000010,13,46.2,0.0
110027556,2020071190,1020000010,3,66.7,0.0
110030183,1020034170,1020000010,3,66.7,0.0
110030224,1020034170,1020000010,3,66.7,0.0
110030229,1020034170,1020000010,3,66.7,0.0
110030299,1020034170,1020000010,7,85.7,0.0
110031483,1020011530,1020000010,3,66.7,0.0
110031494,1020034170,1020000010,3,66.7,0.0
110031495,1020034170,1020000010,3,66.7,0.0
110035419,1020011530,1020000010,25,48.0,16.0
110035431,1020034170,1020000010,11,90.9,0.0
110035736,1020034170,1020000010,3,66.7,0.0
110037051,1020034170,1020000010,3,66.7,0.0
110038361,1020034170,1020000010,5,80.0,0.0
110042033,1020034170,1020000010,9,66.7,0.0
110049849,1020011530,1020000010,3,100.0,0.0
110055161,1020034170,1020000010,7,85.7,0.0
110056410,1020011530,1020000010,13,15.4,46.2
110057722,1020011530,1020000010,9,66.7,0.0
110064506,1020034170,1020000010,7,57.1,0.0
110065818,1020034170,1020000010,3,66.7,0.0
110465021,1020034170,1020000010,3,66.7,0.0
120336704,1020000010,1020011530,1,100.0,0.0
120373272,1020018110,1020011530,3,66.7,0.0
120379975,1020000010,1020011530,1,100.0,0.0
120396613,1020000010,1020011530,1,100.0,0.0
120399911,1020018110,1020011530,3,66.7,0.0
120459847,1020000010,1020011530,3,66.7,0.0
120498070,1020018110,1020011530,15,93.3,0.0
120524743,1020000010,1020011530,5,40.0,40.0
130317726,1020000010,1020018110,1,100.0,0.0
130409457,1020021940,1020018110,3,66.7,0.0
140087882,1020027430,1020021940,1,100.0,0.0
210001292,2020018240,2020000010,1,100.0,0.0
210002362,2020018240,2020000010,3,66.7,0.0
210006120,2020071190,2020000010,3,66.7,0.0
210008260,2020071190,2020000010,3,66.7,0.0
210009327,2020071190,2020000010,3,100.0,0.0
210010376,2020071190,2020000010,3,66.7,0.0
210010379,2020071190,2020000010,5,80.0,0.0
210011472,2020071190,2020000010,5,40.0,0.0
210013569,2020071190,2020000010,3,66.7,0.0
210016451,2020018240,2020000010,3,66.7,0.0
210057685,2020018240,2020000010,3,66.7,0.0
210073517,2020018240,2020000010,3,66.7,0.0
