TerminalNode,VPUCode
110003934,101
110027548,101
110035419,101
110055098,101
110091826,101
110094449,101
110097070,101
110103641,101
110115436,101
110118062,101
110127236,101
110129867,101
110131174,101
110132474,101
110144294,101
110152161,101
110162638,101
110166591,101
110169212,101
110173140,101
110178400,101
110179517,101
110179704,101
110183457,101
110191513,101
110196579,101
110218888,101
110222985,101
110224135,101
110228071,101
110230692,101
110236106,101
110237261,101
110237381,101
110241207,101
110242489,101
110242632,101
110245196,101
110249123,101
110249232,101
110252992,101
110253002,101
110256912,101
110256974,101
110257011,101
110259601,101
110259675,101
110259698,101
110259729,101
110263647,101
110267466,101
110270160,101
110271448,101
110271522,101
110272828,101
110274053,101
110274119,101
110274147,101
110276651,101
110278020,101
110278022,101
110278028,101
110279259,101
110279268,101
110281872,101
110285871,101
110287124,101
110287200,101
110287222,101
110293692,101
110295100,101
110296304,101
110299017,101
110301628,101
110301649,101
110301680,101
110302899,101
110302996,101
110304206,101
110305534,101
110306822,101
110306880,101
110308134,101
110310791,101
110312171,101
110318657,101
110319986,101
110320048,101
110321238,101
110322483,101
110322679,101
110327871,101
110330433,101
110330479,101
110331852,101
110333011,101
110348836,101
110372345,101
110388087,101
110397286,101
110419564,101
110426134,101
110431377,101
110444460,101
110454975,101
110485181,101
110494343,101
110496938,101
110496967,101
110498275,101
110504820,101
110514020,101
110532420,101
110544170,101
110558618,101
110013122,102
110015837,102
110018504,102
110019725,102
110019822,102
110021123,102
110021148,102
110021155,102
110022402,102
110022454,102
110023786,102
110024974,102
110025024,102
110026317,102
110026331,102
110027629,102
110028888,102
110028950,102
110028985,102
110029017,102
110030180,102
110030294,102
110030303,102
110030308,102
110031567,102
110031587,102
110031607,102
110031796,102
110032910,102
110032917,102
110032924,102
110032938,102
110032946,102
110034261,102
110034272,102
110034280,102
110034420,102
110035430,102
110035507,102
110036804,102
110036817,102
110036819,102
110036859,102
110036896,102
110038124,102
110038136,102
110039671,102
110042288,102
110043336,102
110043603,102
110043605,102
110043708,102
110044636,102
110044723,102
110045933,102
110046095,102
110046216,102
110046231,102
110046232,102
110047410,102
110049905,102
110050041,102
110051208,102
110052509,102
110052785,102
110053896,102
110055175,102
110055261,102
110055293,102
110056455,102
110058044,102
110059088,102
110059338,102
110060389,102
110060394,102
110060410,102
110060671,102
110061956,102
110061965,102
110064474,102
110064583,102
110064602,102
110066975,102
110067092,102
110068416,102
110068641,102
110069837,102
110069947,102
110069956,102
110072171,102
110072361,102
110073761,102
110074795,102
110075208,102
110076111,102
110076535,102
110079009,102
110079018,102
110082882,102
110083066,102
110084165,102
110084181,102
110084403,102
110085482,102
110085495,102
110086870,102
110087959,102
110088111,102
110088121,102
110088328,102
110089415,102
110089428,102
110089434,102
110090730,102
110090750,102
110092162,102
110092167,102
110093357,102
110093375,102
110093571,102
110094656,102
110094741,102
110094750,102
110095979,102
110097373,102
110097412,102
110097502,102
110098671,102
110098725,102
110098828,102
110099924,102
110099942,102
110101220,102
110101348,102
110101443,102
110102766,102
110105163,102
110106500,102
110106693,102
110107819,102
110107912,102
110109093,102
110110644,102
110111868,102
110113084,102
110113101,102
110113164,102
110114566,102
110115890,102
110117205,102
110118346,102
110118521,102
110119623,102
110119811,102
110122270,102
110122279,102
110122292,102
110122449,102
110123747,102
110123770,102
110124889,102
110126281,102
110127497,102
110127502,102
110127513,102
110128842,102
110128951,102
110130133,102
110130233,102
110131542,102
110132768,102
110134070,102
110134072,102
110134157,102
110134251,102
110135503,102
110135579,102
110136703,102
110136851,102
110138093,102
110138157,102
110138208,102
110139409,102
110139415,102
110139417,102
110139449,102
110139455,102
110139514,102
110140623,102
110140747,102
110140828,102
110143388,102
110143402,102
110143405,102
110144656,102
110144658,102
110144696,102
110144780,102
110147322,102
110147326,102
110148644,102
110148704,102
110149811,102
110150023,102
110151239,102
110152561,102
110152564,102
110152599,102
110153944,102
110155074,102
110155223,102
110156490,102
110156517,102
110156568,102
110157787,102
110159108,102
110159144,102
110159209,102
110159219,102
110164360,102
110165761,102
110168287,102
110169745,102
110170960,102
110173624,102
110176148,102
110176201,102
110177579,102
110181531,102
110182772,102
110185488,102
110186657,102
110186805,102
110188086,102
110190733,102
110193333,102
110193363,102
110195880,102
110199890,102
110207767,102
110209078,102
110211713,102
110213014,102
110214324,102
110216947,102
