TerminalLink,VPUCode
110032947,102
110275061,103
110364338,103
110023635,102
110043348,102
110051302,102
110147296,102
110132872,102
110094886,102
110186800,102
110226171,102
110272094,102
110331136,102
110157959,102
110303591,102
110539759,102
110632955,102
110640972,103
110275069,103
110272564,103
110277821,103
110371000,101
110350018,101
110224180,101
110215067,101
110031501,102
110026261,102
110018441,102
110028977,102
110039542,102
110092060,102
110101299,102
110069834,102
110094788,102
110080405,102
110149957,102
110226145,102
110261568,102
110297026,102
110392805,102
110395429,102
110560758,102
110583064,102
110632920,102
110659160,102
110527989,102
110631653,102
110759017,102
110587151,102
110787906,102
110391738,103
110303883,103
110265891,103
110221296,103
110296116,103
110276469,103
110319783,103
110273865,103
110235950,101
110241308,101
110118042,101
110015741,101
110035431,102
110019770,102
110030337,102
110026404,102
110046087,102
110056626,102
110080322,102
110050156,102
110093477,102
110134159,102
110135494,102
110114550,102
110119836,102
110118527,102
110275996,102
110230077,102
110239266,102
110218276,102
110328516,102
110443979,102
110415116,102
110509586,102
110619803,102
110570000,102
110656684,103
110701301,102
110609529,102
110281623,103
110205542,103
110258051,103
110273837,103
110250240,103
110304069,103
110350014,101
110040813,102
110040849,102
110080226,102
110086809,102
110090746,102
110061951,102
110321954,102
110667031,102
110247495,103
110301434,103
110237359,101
110211123,101
110056410,101
110036842,102
110038154,102
110089433,102
110088317,102
110156621,102
110404621,102
110195435,101
110172265,102
120436939,106
120257741,104
120581650,105
120503472,105
120463691,105
120392163,105
120355620,105
120319097,105
120320992,104
120269418,104
120277763,104
120189636,104
120106450,104
120539819,105
120523191,105
120554924,106
120501896,105
120368896,105
120438797,105
120357261,105
120467088,105
120370572,105
120380590,105
120463793,105
120440500,105
120353983,105
120310806,105
120339162,104
120296070,104
120247837,104
120138053,104
120571415,106
120634664,106
120535027,105
120446857,106
120491903,105
120365563,105
120460468,105
120428861,105
120425563,105
120368993,105
120403945,105
120369039,105
120332437,104
120352418,105
120325799,105
120377387,105
120377394,104
120374102,104
120332511,104
120307556,104
120365800,104
120319236,104
120359207,104
120340935,104
120211215,104
120549773,105
120589729,106
120558129,105
120520047,106
120561779,105
120392204,105
120358939,105
120373927,104
120417236,105
120365733,105
120118085,104
120121418,104
120543010,105
120498445,106
120417147,105
120405592,105
130555621,108
130488939,107
130160617,107
130080308,107
130063239,107
130448825,108
130539607,108
130498950,108
130146910,107
130114411,107
130066711,107
130544701,108
130563543,108
130531087,108
130659539,108
130552142,108
130545365,108
130141795,107
130075129,107
130117952,107
130100857,107
130083795,107
130505891,108
130479905,108
140263966,112
140339739,112
140116724,111
140147370,111
140242152,111
140352854,112
140432984,112
140476746,111
140447883,112
140363442,112
140554385,112
140042210,111
140037843,112
140080321,111
140188129,111
140227620,112
140553932,112
140512022,112
140503305,112
140551408,112
140264873,110
140227053,110
140133894,110
140088779,110
140104797,112
140379085,111
140418619,112
140465355,112
140421696,112
140651874,112
140568946,112
140422065,112
140368216,110
140307105,112
140071581,111
140119636,111
160105152,122
160248000,122
160036213,122
160211763,122
160270196,122
160297059,122
160366007,122
160269074,122
160424548,122
160102820,122
160088806,122
160312241,122
160260876,122
160456100,122
170021134,123
170012891,123
170008779,123
170051640,123
170110831,123
170099942,123
170120863,123
170018382,123
170015633,123
170018431,123
170017060,123
170030854,123
170041856,123
170043256,123
170040514,123
170058428,123
170055707,123
170076370,123
170055732,123
170075000,123
170090136,123
170062638,123
170087414,123
170097045,123
170072280,123
170091545,123
170109436,123
170080558,123
170124602,123
170102617,123
170086108,123
170117758,123
170087631,123
170086302,123
170106958,123
170082207,123
170097424,123
170090570,123
170113974,123
170100217,123
